HANDLER_ID,REPORT_CYCLE,BR_GENERATOR,BR_TSDF,BR_GENERATE_TONS,BR_MANAGE_TONS,BR_SHIP_TONS,BR_RECEIVE_TONS,HD_GENERATOR,HD_GENERATOR_CONF,HD_TSDF,HD_TSDF_CONF
AK6210022426,2015,L,N,16.015,0,16.015,0,L,FALSE,N,FALSE
AK6210022426,2017,L,N,57.013,0,57.013,0,L,FALSE,N,FALSE
AK6210022426,2019,L,N,54.5665,0,54.5665,0,L,FALSE,N,FALSE
AK6210022426,2021,L,Y,799.775,0,799.775,0.1035,L,FALSE,N,FALSE
AK6210022426,2023,L,Y,71.955,1.0195,70.9355,52.3255,L,FALSE,N,FALSE
AK8570028649,2015,L,N,45.6025,0,40.4855,0,L,FALSE,N,FALSE
AK8570028649,2017,L,Y,56.5075,0,56.5525,5.0995,L,FALSE,N,FALSE
AK8570028649,2019,L,N,153.5695,0,153.5695,0,L,FALSE,N,FALSE
AK8570028649,2021,L,N,76.924,0,76.924,0,L,FALSE,N,FALSE
AK8570028649,2023,L,N,61.8985,0,61.8985,0,L,FALSE,N,FALSE
AKD000643239,2015,L,Y,62.31,39.0215,22.1955,0,L,FALSE,Y,FALSE
AKD000643239,2017,L,Y,61.9795,51.8885,12.8165,0,L,FALSE,Y,FALSE
AKD000643239,2019,L,Y,25.3285,6.976,16.2205,0,L,FALSE,Y,FALSE
AKD000643239,2021,L,Y,40.893,35.831,4.2125,0,L,FALSE,Y,FALSE
AKD000643239,2023,L,Y,50.2775,47.898,4.563,0,L,FALSE,Y,FALSE
AKD048679567,2015,L,N,19.555,0,19.56,0,L,FALSE,N,FALSE
AKD048679567,2017,L,N,19.772,0,19.772,0,L,FALSE,N,FALSE
AKD048679567,2019,L,N,12.3425,0,12.3425,0,L,FALSE,N,FALSE
AKD048679567,2021,L,N,19.0917099,0,19.0917099,0,L,FALSE,N,FALSE
AKD048679567,2023,L,N,39.134,0,39.134,0,L,FALSE,N,FALSE
