variable,category,n,pct
REPORT_CYCLE,2015,5440,20
REPORT_CYCLE,2017,5440,20
REPORT_CYCLE,2019,5440,20
REPORT_CYCLE,2021,5440,20
REPORT_CYCLE,2023,5440,20
BR_GENERATOR,L,26816,98.59
BR_GENERATOR,N,384,1.41
BR_TSDF,0,23085,84.87
BR_TSDF,1,4115,15.13
HD_EPA_REGION,05,6600,24.26
HD_EPA_REGION,04,4150,15.26
HD_EPA_REGION,06,3486,12.82
HD_EPA_REGION,09,2912,10.71
HD_EPA_REGION,03,2890,10.62
HD_EPA_REGION,01,1934,7.11
HD_EPA_REGION,02,1910,7.02
HD_EPA_REGION,07,1605,5.9
HD_EPA_REGION,10,960,3.53
HD_EPA_REGION,08,745,2.74
HD_EPA_REGION,(Missing),8,0.03
HD_ACTIVITY_STATE,CA,2357,8.67
HD_ACTIVITY_STATE,TX,2107,7.75
HD_ACTIVITY_STATE,OH,1705,6.27
HD_ACTIVITY_STATE,PA,1655,6.08
HD_ACTIVITY_STATE,IL,1465,5.39
HD_ACTIVITY_STATE,IN,1080,3.97
HD_ACTIVITY_STATE,NY,1075,3.95
HD_ACTIVITY_STATE,WI,905,3.33
HD_ACTIVITY_STATE,MI,875,3.22
HD_ACTIVITY_STATE,MA,835,3.07
HD_ACTIVITY_STATE,NC,790,2.9
HD_ACTIVITY_STATE,NJ,665,2.44
HD_ACTIVITY_STATE,FL,660,2.43
HD_ACTIVITY_STATE,GA,625,2.3
HD_ACTIVITY_STATE,MO,605,2.22
HD_ACTIVITY_STATE,LA,604,2.22
HD_ACTIVITY_STATE,SC,595,2.19
HD_ACTIVITY_STATE,CT,589,2.17
HD_ACTIVITY_STATE,MN,570,2.1
HD_ACTIVITY_STATE,VA,535,1.97
HD_ACTIVITY_STATE,KY,530,1.95
HD_ACTIVITY_STATE,WA,515,1.89
HD_ACTIVITY_STATE,AL,465,1.71
HD_ACTIVITY_STATE,KS,455,1.67
HD_ACTIVITY_STATE,IA,375,1.38
HD_ACTIVITY_STATE,OK,360,1.32
HD_ACTIVITY_STATE,AR,340,1.25
HD_ACTIVITY_STATE,OR,325,1.19
HD_ACTIVITY_STATE,MD,315,1.16
HD_ACTIVITY_STATE,AZ,310,1.14
HD_ACTIVITY_STATE,CO,305,1.12
HD_ACTIVITY_STATE,TN,280,1.03
