RANK,CITATION,CITATION_OWNER,CITATION_CODE,FACILITY_MONTHS,PCT_ACTIVE_MONTHS,FACILITIES,CUM_PCT_MENTIONS
1,HQ-262.11,HQ,262.11,3562,6.83,3337,2.22
2,HQ-279.22(c)(1),HQ,279.22(c)(1),2668,5.12,2555,3.88
3,HQ-273.13(d)(1),HQ,273.13(d)(1),2634,5.05,2474,5.52
4,HQ-273.14(e),HQ,273.14(e),2411,4.62,2276,7.03
5,HQ-262.34(a)(2),HQ,262.34(a)(2),1975,3.79,1858,8.26
6,HQ-262.20(a),HQ,262.20(a),1804,3.46,1782,9.38
7,HQ-273.15(c),HQ,273.15(c),1783,3.42,1696,10.49
8,HQ-262.41(a),HQ,262.41(a),1726,3.31,1707,11.57
9,HQ-262.34(a)(3),HQ,262.34(a)(3),1705,3.27,1624,12.63
10,HQ-265.173(a),HQ,265.173(a),1652,3.17,1563,13.66
11,HQ-268.7(a)(1),HQ,268.7(a)(1),1125,2.16,1122,14.36
12,HQ-265.174,HQ,265.174,1091,2.09,1060,15.04
13,HQ-262.18,HQ,262.18,1081,2.07,1080,15.72
14,HQ-262.32(a),HQ,262.32(a),1067,2.05,1066,16.38
15,HQ-262.32(b),HQ,262.32(b),1063,2.04,1062,17.04
16,HQ-262.34(c)(1)(ii),HQ,262.34(c)(1)(ii),1029,1.97,979,17.69
17,HQ-273.15(a),HQ,273.15(a),974,1.87,947,18.29
18,HQ-262.15(a)(4),HQ,262.15(a)(4),924,1.77,866,18.87
19,HQ-273.14(a),HQ,273.14(a),915,1.75,875,19.44
20,HQ-279.22(c),HQ,279.22(c),897,1.72,875,20
21,IN-3.1-7-1,IN,3.1-7-1,856,1.64,683,20.53
22,HQ-262.15(a)(5)(ii),HQ,262.15(a)(5)(ii),855,1.64,810,21.06
23,HQ-PC,HQ,PC,765,1.47,321,21.54
24,HQ-262.15(a)(5)(i),HQ,262.15(a)(5)(i),728,1.4,705,21.99
25,HQ-262.40(a),HQ,262.40(a),728,1.4,711,22.45
26,HQ-262.16(b)(6)(i)(C),HQ,262.16(b)(6)(i)(C),657,1.26,623,22.86
27,HQ-262.34(a)(4),HQ,262.34(a)(4),638,1.22,604,23.26
28,HQ-262.34(a),HQ,262.34(a),625,1.2,596,23.64
29,HQ-Section 3010,HQ,Section 3010,625,1.2,624,24.03
30,OH-279-22(C)(1),OH,279-22(C)(1),606,1.16,577,24.41
31,HQ-262.17(a)(5)(i)(C),HQ,262.17(a)(5)(i)(C),605,1.16,577,24.79
32,HQ-262.15(a)(5),HQ,262.15(a)(5),589,1.13,559,25.16
33,WA-WAC 173-303-200(1)(d),WA,WAC 173-303-200(1)(d),582,1.12,487,25.52
34,HQ-262.17(a)(5)(i)(A),HQ,262.17(a)(5)(i)(A),569,1.09,545,25.87
35,HQ-262.17(a)(1)(v),HQ,262.17(a)(1)(v),567,1.09,553,26.23
36,NY-374-3.2(f),NY,374-3.2(f),567,1.09,533,26.58
37,HQ-265.52(d),HQ,265.52(d),565,1.08,556,26.93
38,NY-374-3.2(e),NY,374-3.2(e),559,1.07,533,27.28
